TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Abilene Christian,WAC,26,13,104.5,106.5,0.4435,49.2,56.5,17.3,23.3,25.5,28.6,32.3,45.6,48.1,56.2,34.3,38.1,69,-10.2,N/A,N/A
Maine,AE,28,13,97.8,107.4,0.2534,51.1,53.4,18.7,20.3,22.9,30,23,28.7,51.5,54.4,33.5,34.6,65.6,-11.8,N/A,N/A
Jacksonville St.,ASun,28,13,101.5,106.2,0.3716,50.5,52.5,20.2,16.5,29.4,24.1,31.8,29.5,47.9,52.7,36,34.9,65.3,-11.6,N/A,N/A
Fairfield,MAAC,30,13,98,106.2,0.2852,46,49.3,18.2,17.8,28.6,29.5,37.9,28.1,47.8,51.7,28.6,29.3,64.9,-13.1,N/A,N/A
Binghamton,AE,29,13,98.1,109.5,0.2209,49.5,50.5,19.4,15.1,28.7,27.3,28.2,35.4,50,50.8,32.4,33.2,65.9,-13.3,N/A,N/A
St. Francis PA,NEC,29,13,100.7,115.1,0.1775,51.9,51.9,18.3,14.7,25.3,28.9,32.8,29.9,50.4,52.7,36.4,33.7,68.3,-14.3,N/A,N/A
Northern Illinois,MAC,30,13,99.7,106,0.3307,52.2,50.7,20.3,18.6,25,32.8,34.3,35.8,52.1,51.7,34.9,32.7,68.9,-12.4,N/A,N/A
Prairie View A&M,SWAC,30,13,93.7,102,0.2739,44.8,48.2,19.6,21.2,31.7,28.7,33,41.8,44,47.3,30.9,33.3,67.5,-13.9,N/A,N/A
Oakland,Horz,31,13,102.2,111.8,0.2621,49.2,54.8,15.1,18.7,24.2,32.7,31.6,22.5,51.3,53.9,30.6,37.5,68.4,-12.9,N/A,N/A
North Carolina A&T,CAA,29,13,96.9,110.5,0.18,47.4,50.6,17.5,15.7,24.6,30.2,30,28.5,46.2,51,32.9,33.2,69.9,-13.3,N/A,N/A
Mount St. Mary's,MAAC,32,13,97.5,104.5,0.3116,48.6,48.9,20.8,17.9,27.8,29.9,26,29.2,45.8,48,36,33.7,65.7,-14.4,N/A,N/A
North Dakota,Sum,31,13,102.8,111.8,0.2762,51,53.5,16.7,15.5,25.7,27.4,27.3,28,50.6,53,34.4,36.4,66.9,-14.6,N/A,N/A
Marist,MAAC,33,13,97.2,105.8,0.2752,47.9,47.9,18.1,16.8,25.9,28.9,28.9,28.4,46.9,45.1,32.8,35,65.4,-15.9,N/A,N/A
Arkansas St.,SB,30,13,99.3,109,0.2535,47.6,50.3,18.1,16.6,28.8,28,35.1,34.8,45.5,48,34.6,36.4,63.1,-14.6,N/A,N/A
William & Mary,CAA,31,13,99,111.6,0.2002,49.4,53.9,18.8,17,27.4,29.9,29.2,27.4,46.3,54.3,36.3,35.5,65,-14.4,N/A,N/A
Texas A&M Commerce,Slnd,32,13,100,113,0.1968,52.4,52.8,18.9,17.7,26.5,29.9,28.3,37.9,56.2,53.1,31.9,34.8,65.4,-15.4,N/A,N/A
Loyola MD,Pat,31,13,98.7,111.7,0.1952,51.3,55.5,20.4,20.2,26.6,28.7,28.2,29.8,50,55.3,35.6,37.1,65.8,-15.4,N/A,N/A
Brown,Ivy,27,14,100.1,99.7,0.5129,50.7,51.2,19,19.7,23.4,23.7,29.8,26.9,49.8,50.4,34.7,35,69.3,-7.2,N/A,N/A
Harvard,Ivy,26,14,99.5,100.3,0.477,49.5,48.8,19.8,18.4,30.3,24.3,31.2,25,52.1,50,30,31.2,65.9,-8.5,N/A,N/A
Morgan St.,MEAC,26,14,92.7,105.6,0.1814,47.1,50.8,22,23.8,30.2,37.3,30.9,42.9,44.4,52.4,35.5,31.8,70.3,-10.9,N/A,N/A
St. Francis NY,NEC,28,14,91,109.3,0.1084,45.9,50.5,21.1,19.6,30.9,31.8,31.1,31.6,41.6,47.1,36.5,39.7,65.7,-13,N/A,N/A
North Florida,ASun,29,14,108.3,113.1,0.3785,53.3,52.4,17.3,14,26.2,32.9,28.4,23.5,52.1,52.1,36.4,35.5,67.9,-10.2,N/A,N/A
High Point,BSth,29,14,99.6,110.3,0.2379,50.2,50.7,19.6,16.3,30.8,32,38.7,35.3,51.4,52,32.3,32.5,71.4,-12.9,N/A,N/A
Stonehill,NEC,30,14,94.4,107.6,0.1809,50.9,50.2,19.7,19.8,19.1,31.4,32.2,27.3,49.9,49,34.8,34.6,66.6,-12.6,N/A,N/A
Butler,BE,32,14,100.6,96.7,0.613,49.5,50.1,17.6,18.6,20,30.3,25.9,22.6,49.7,51,32.7,32.1,65.6,-4.4,N/A,N/A
Air Force,MWC,32,14,105.4,102.9,0.5665,54.2,49.3,19,17.1,22.3,28.6,31.2,35.2,54.8,51.9,35.6,29.3,63,-9.4,N/A,N/A
South Florida,Amer,32,14,105.2,103,0.5608,50.8,49.8,19.6,18.7,33,27.8,30.7,37.1,51,48.2,33.6,34.9,68.2,-9.2,N/A,N/A
UTEP,CUSA,30,14,99.7,99.3,0.5111,48.6,51.1,22.9,22.9,33.3,29.7,38.8,37.3,50.7,51.8,29.1,33.2,66.7,-10,N/A,N/A
St. Bonaventure,A10,32,14,100.1,101.6,0.4574,49.2,48.6,18.8,19.4,27.5,29.2,29.5,40.9,47.5,52.1,34.8,28.7,65.5,-11.8,N/A,N/A
FIU,CUSA,30,14,102.8,104.9,0.4418,52.1,52.1,20.6,22.8,25.5,36.7,28.7,30.6,53.8,50.4,32.8,36.5,69.9,-10.4,N/A,N/A
Northern Iowa,MVC,31,14,102.5,106.4,0.3957,51.3,53.8,17.7,18.2,22.6,22.4,31.1,26.5,51.7,53.6,33.7,36,67.3,-11.8,N/A,N/A
Sacramento St.,BSky,30,14,101.4,108.7,0.3093,50.8,52.2,20.8,14.5,32.9,24,27.5,25.8,50,51.6,34.9,35.7,62.2,-11.7,N/A,N/A
Saint Peter's,MAAC,31,14,96.1,107.8,0.2107,43.9,49.5,19.5,19.7,36.4,30.6,28.4,51.4,44.1,48.4,29,34.3,63,-13.2,N/A,N/A
Mercer,SC,31,14,98.8,102.2,0.403,48.9,48.8,18.2,17.4,30.4,27.6,28.6,35.9,48.8,48.4,32.7,33,64.4,-14,N/A,N/A
Stanford,P12,33,14,114.4,102.9,0.7722,52.4,51.5,18.9,18.3,31.2,26.4,29.4,28.6,51.1,50.4,36.3,35.4,65.7,-6.2,N/A,N/A
Utah Tech,WAC,30,14,107.7,104.9,0.5748,53.2,53.8,21.4,20,28.7,26.8,44.8,35,50.9,53.3,37.6,36.5,68.6,-11,N/A,N/A
LSU,SEC,33,14,105.9,104.2,0.5459,47.3,51.8,18.4,17.5,31.7,28.8,33.7,30.3,46.2,52.1,32.7,34.3,65.8,-7.3,N/A,N/A
Portland,WCC,31,14,109.7,108.2,0.5398,53.8,54.5,18,16.9,24.1,30.2,43.3,27.7,51.8,53.2,37.4,37.4,69.2,-9.3,N/A,N/A
Detroit,Horz,32,14,109.2,113.2,0.3964,51.4,53.6,17.6,17.1,35.8,29.7,27.2,28.9,46.4,52.6,38.7,36.8,67,-13,N/A,N/A
Jackson St.,SWAC,33,14,98.1,109.8,0.2139,47.5,52.5,22,19.1,32.9,29.1,32.9,34,47.1,52.1,32.1,35.4,68,-12.2,N/A,N/A
Wagner,NEC,26,15,93,104.3,0.2117,44.9,49.1,19.1,20.9,34.4,24.8,25.2,47,44.7,50.2,30.2,31.5,62.1,-10.3,N/A,N/A
New Hampshire,AE,28,15,96.6,105.8,0.2597,45.8,49.1,15,16.2,26,27.4,29.6,30.2,42.8,50,33.4,31.5,64,-10.6,N/A,N/A
Gardner Webb,BSth,29,15,98.2,100.8,0.424,50.7,49.1,19.5,20.3,28.5,25.1,34.8,39.6,51.5,47.4,32.8,34.7,66.1,-11.4,N/A,N/A
Massachusetts,A10,31,15,99.3,102.7,0.4053,46.4,50.2,20.2,19.2,34.5,27.9,32.2,32.4,45.2,50.5,32.8,33.1,70.5,-9.3,N/A,N/A
Oklahoma,B12,32,15,109.6,96.3,0.8172,52.4,48,20,15.5,23.7,27.2,30.1,30.1,52.2,48.5,35.1,31.2,65,-1.7,N/A,N/A
Buffalo,MAC,30,15,103.1,104.8,0.4533,49.5,52.5,19.2,18.3,32.2,29.1,32.1,36.4,50.9,52.3,31.2,35.3,72.2,-9.4,N/A,N/A
Winthrop,BSth,30,15,107.4,114.4,0.3279,55.1,54.8,20.6,17.4,25.9,34.2,41.6,31,53.8,55.5,37.9,35.8,66.8,-11.3,N/A,N/A
UT Rio Grande Valley,WAC,28,15,102.3,110,0.301,51.2,52,22.2,16.9,29,29.5,45.9,38.9,51.7,51.9,33.5,34.8,72.5,-10.4,N/A,N/A
Denver,Sum,30,15,99.9,109,0.2676,52.3,51.7,21.4,15.6,29.8,27.4,39.4,27.7,53.4,52.2,32.9,33.9,68.5,-13,N/A,N/A
Boston University,Pat,31,15,96.3,106.5,0.2393,47,50.5,17.8,18.3,28.7,24.6,29,36.5,45.9,50.3,32.4,33.8,65.4,-12.4,N/A,N/A
Southern,SWAC,30,15,94.4,105,0.2282,48.5,51.4,20.5,23,24.4,28.6,34.5,42.9,48,51.6,32.8,34,70.9,-11.4,N/A,N/A
Colorado St.,MWC,32,15,110.9,104.6,0.6629,54.8,52.2,16.7,17.9,19.6,27.1,29.8,29.6,55.8,51,35.5,35.8,66.2,-6.7,N/A,N/A
Georgia Tech,ACC,31,15,104.7,102.2,0.5687,48.5,50.1,15.6,15.9,27.5,29.9,23.5,30.8,47.4,52,33.4,31,66.5,-8.1,N/A,N/A
Richmond,A10,33,15,102.2,101.8,0.5103,51.2,49.6,17.1,17.1,21,25.4,33,26.2,52.4,49.7,33,32.9,65.2,-10.7,N/A,N/A
Pacific,WCC,31,15,107.2,107,0.5035,52.6,54,16.2,17.9,22.9,31.2,33.1,36.4,49.6,55.1,38.3,34.9,69.6,-10.2,N/A,N/A
Louisiana Tech,CUSA,30,15,104.5,104.6,0.4982,50.9,54,19.9,21.3,30.1,28.1,28.4,38.5,50.3,51.1,34.5,38.5,66.5,-9.3,N/A,N/A
Bellarmine,ASun,30,15,101.8,109,0.3125,51.7,54.7,18.2,17.7,20.6,28.1,25.4,31.8,53.9,55,32.6,36.3,61.9,-10.2,N/A,N/A
Alabama A&M,SWAC,30,15,95.8,107.4,0.2121,48.6,49.4,21.4,21.4,29.5,33.9,35.9,41.8,46.9,48.5,34.7,33.8,68.3,-14.1,N/A,N/A
La Salle,A10,34,15,103.3,106.7,0.4086,48.5,51,18.1,17.9,30.5,30.5,28.3,31.6,46.9,50.6,34.2,34.5,67.7,-11.6,N/A,N/A
Rider,MAAC,29,16,104.6,108.6,0.3931,49.5,50.3,17.8,16.5,33.8,28.3,29.3,38.6,49.4,47.5,33.3,36.2,65,-9.4,N/A,N/A
Lehigh,Pat,28,16,96.7,106.4,0.2499,49.8,50.3,17.4,16.6,18.8,26.7,31.1,28.5,48.4,50.9,35,32.8,69.4,-10,N/A,N/A
Western Illinois,Sum,27,16,100.4,111.8,0.2252,50.1,53.4,15.1,16.4,26.9,26.7,31.4,27.4,51.8,54.6,31.5,33.9,66.6,-10.2,N/A,N/A
Niagara,MAAC,30,16,100.3,107.7,0.3074,50.3,49.8,18.5,16.9,26.5,28.6,30,33.5,50.1,48,33.8,36,62.9,-10.1,N/A,N/A
Nicholls St.,Slnd,27,16,98.2,107.1,0.27,50.3,52.5,18.5,23.7,29.3,33.7,27.6,47.6,50.5,51.4,33.3,36.2,70.4,-9.7,N/A,N/A
Texas Tech,B12,32,16,110.7,97.4,0.8134,52.3,48.9,19.9,19.9,32.1,30.1,34.8,28.4,52.6,49.1,34.5,32.4,67.3,-2.5,N/A,N/A
Nebraska,B10,32,16,106,98.4,0.703,51.7,49.9,18.6,17.7,24.7,28.3,28.2,21.9,53.4,49,32.6,34.1,66.8,-2.1,N/A,N/A
Temple,Amer,32,16,107.6,101.1,0.67,49.7,48.7,19.8,16.5,28.7,29,34.6,31.5,49.9,47.9,33,33.6,65.9,-5.6,N/A,N/A
Washington,P12,32,16,103.9,98.3,0.6549,48.8,47.1,19.9,18.4,26.4,34.6,31.7,25.4,50,48.6,31.3,29.7,69.1,-3.8,N/A,N/A
Davidson,A10,31,16,107,103.8,0.5867,50.1,50.8,16.2,17.3,24.9,27.8,32.8,26.7,51.3,51.5,31.9,33,65.2,-8.4,N/A,N/A
Appalachian St.,SB,29,16,101.3,100.2,0.532,48.7,47.9,16.3,17.1,24.5,28.8,29.3,24.8,48.3,46.5,32.9,33.4,65,-10.1,N/A,N/A
Georgia,SEC,32,16,103.3,102.6,0.5201,47.1,49.8,19.3,16.8,30.5,30.5,40.5,28.9,46.8,51,31.7,31.9,67.6,-5.5,N/A,N/A
George Washington,A10,31,16,108.9,110.9,0.449,53,52,17.6,15.5,26.5,29.7,34.5,27.7,56,51.7,32.1,34.9,68.7,-10.3,N/A,N/A
USC Upstate,BSth,30,16,98.2,104.5,0.3287,50.7,50.1,19.2,20.5,24.6,32.2,31.4,42.8,51.3,49.3,33,34.2,67.7,-9.8,N/A,N/A
Florida,SEC,33,16,105.7,96.2,0.7467,49.4,46.3,16.1,17.8,23.8,30.7,34.5,29.2,50.7,45.8,31.4,31.6,69.4,-2.9,N/A,N/A
Boston College,ACC,33,16,102.5,101.7,0.5223,48.7,51.5,18.3,18.3,27.6,28.3,27.3,27.6,49.2,49.1,31.9,36.8,66.5,-6.6,N/A,N/A
Saint Joseph's,A10,33,16,103.9,104.5,0.4828,50.2,50.5,18.2,18.9,28.9,30.7,34.2,32.8,50.9,50.1,32.9,34.1,69.1,-10,N/A,N/A
East Carolina,Amer,33,16,101.6,103.1,0.4566,47.1,49.2,19.2,17.4,33,28.9,37.1,33.1,46.9,49.2,31.6,32.9,67.4,-8,N/A,N/A
North Dakota St.,Sum,31,16,102.3,107.3,0.365,51.7,50.8,16.9,12.4,24.4,22.6,32.2,27.1,52.2,50.6,33.9,34.2,68,-10.6,N/A,N/A
Robert Morris,Horz,31,16,97.7,103.5,0.341,49.2,49.6,19.5,19.1,29.7,28.5,26.9,31.1,50.4,47.4,31.4,36.2,66.1,-12.1,N/A,N/A
Tennessee Tech,OVC,30,16,100.7,110.3,0.2588,51.4,51.7,17.8,18,23.8,30.2,29.9,25.8,48.1,52.1,37.3,34,66.2,-12.8,N/A,N/A
Southern Indiana,OVC,30,16,101.1,112.1,0.2337,50.2,51.7,18.2,16.6,32.1,25.9,33.5,39.8,47.1,51,36.3,35.1,69.2,-12.6,N/A,N/A
Sacred Heart,NEC,32,16,95.4,110.5,0.1549,48.4,50.2,18.8,19.4,28.8,30.8,27.6,26.5,49.8,49.7,30.6,34.1,69.8,-13.6,N/A,N/A
Campbell,BSth,32,16,104.6,108.7,0.3892,52.7,52.5,18.1,18.4,24.4,27.8,38,32.1,54.7,53.2,32.9,34.4,64.1,-13.3,N/A,N/A
Ohio St.,B10,35,16,115.8,100.7,0.8322,52,48.9,16.1,15.9,31.5,28.6,26.6,28.1,50.6,49.3,36.8,32.1,66,-3.1,N/A,N/A
Texas St.,SB,32,16,104.6,106.2,0.454,48.2,50.9,17.9,18.6,31.6,28.5,32.5,41.7,48.6,49,31.4,36.4,63.5,-12.1,N/A,N/A
Cornell,Ivy,26,17,109.8,109.4,0.5099,54.8,55.7,16.7,21.9,28.8,29,28.5,30.9,57.5,56.6,34.5,36.2,71,-5.4,N/A,N/A
Penn,Ivy,29,17,109.9,104.9,0.6313,53.3,49.3,18.9,14.9,30.1,27.9,29.5,31.2,52.7,49.1,36.2,33,66.9,-6,N/A,N/A
Bryant,AE,28,17,102.8,106.4,0.4037,52,50,18.7,15.8,29,25.2,32.9,31.9,53.4,49.3,33.3,34.1,72,-7.9,N/A,N/A
Montana,BSky,30,17,107.8,107.5,0.5077,53.8,51.2,17.3,15.9,24.4,25.1,29.1,37.9,52.4,52.5,37.3,32.5,63.5,-7.9,N/A,N/A
Stetson,ASun,29,17,111.5,112.2,0.4828,53.5,52.9,15.9,14.3,29.4,28.1,25.8,30,50.8,52.7,38,35.4,64.5,-7,N/A,N/A
Utah,P12,32,17,106.7,95,0.7908,48.9,45,18,15.2,31.3,27.4,29.2,24.4,48.4,44.9,33.3,30.2,66,-3.3,N/A,N/A
Wichita St.,Amer,32,17,108.1,98.7,0.7395,50.7,47.5,18.2,16.9,29.1,28.2,30.8,25.9,53.3,45.4,30.9,33.6,66,-5.5,N/A,N/A
Syracuse,ACC,32,17,109,105.7,0.5863,51.6,51.2,17,18.7,30,33.6,30.7,21.7,50.5,50.9,36.1,34.4,67.2,-5.7,N/A,N/A
Missouri St.,MVC,31,17,103.8,102.2,0.5451,50.1,49.3,19.1,18.6,33.2,26.9,27.2,30.4,50.9,49.5,32.8,32.6,61.9,-8.1,N/A,N/A
Drexel,CAA,31,17,100,101.1,0.4685,49.4,47.4,17.9,18,29.4,27.4,30.1,24.2,50.6,46.2,31.8,33.5,63.4,-10.3,N/A,N/A
Florida Gulf Coast,ASun,31,17,103.6,105.9,0.4376,51.2,50.7,17.1,17.3,26.6,28.8,28.2,28.1,50.1,51.1,35.1,33.4,66.2,-8.7,N/A,N/A
Siena,MAAC,32,17,100.2,104.2,0.3903,49.3,49.6,19.5,18.5,30.5,26.8,34.5,33,47.8,49.4,34.9,33.5,66.7,-10.5,N/A,N/A
Murray St.,MVC,31,17,104.8,109.4,0.3776,49,51.9,16.2,15.6,27.4,27.3,33.2,24.4,49.1,53.2,32.6,33.4,66.6,-8.1,N/A,N/A
Fort Wayne,Horz,30,17,99.5,105.5,0.3379,50.5,51.9,18.9,17.7,27.1,26.1,28.7,23,50.8,55.2,33.5,31.2,68.9,-10.2,N/A,N/A
American,Pat,32,17,100.1,109.7,0.2579,54.4,51.8,22,19.2,28.3,27.9,27.9,32.1,55.8,48.7,34.6,38.5,62.4,-11.4,N/A,N/A
Seton Hall,BE,32,17,106.2,93.7,0.8082,49,47.6,20.1,21.1,30.5,30,40.1,30.9,49,47.7,32.8,31.6,66.4,-2,N/A,N/A
Long Beach St.,BW,31,17,104.8,103.7,0.5315,48.4,49.8,18.7,18.2,34.6,28,34.4,30,49.4,48.8,30.2,34.2,72.9,-8.7,N/A,N/A
Cal Baptist,WAC,31,17,102.4,101.7,0.5195,49,47.6,18.1,16,28.9,26.1,31.6,29.3,49.2,49,32.5,29.7,64,-9.8,N/A,N/A
Western Kentucky,CUSA,31,17,103.2,104,0.479,49.6,50.7,17.1,18,25.9,31,32.3,25.6,48.5,48,34.4,36.2,67.3,-7.8,N/A,N/A
Georgia Southern,SB,30,17,99.5,101.1,0.455,48.2,49.5,16.3,18.3,25.8,27.3,27.9,34.6,48.4,49.4,31.8,33.2,66.5,-10,N/A,N/A
Delaware,CAA,32,17,101.9,107,0.3637,49.6,51.8,16.5,18.6,25,29.8,33,29.4,50.5,50.1,32,36.6,67,-9.8,N/A,N/A
Wofford,SC,30,17,107.8,113.8,0.3511,52.4,54.8,16.3,16.6,28.6,28.7,30,26.4,55.1,56.1,32.1,35.3,65,-10,N/A,N/A
Army,Pat,31,17,102.1,107.7,0.3508,53.8,51.4,19.1,15.6,25.4,24.2,31.3,28.5,54.7,52.4,34.9,33.1,68.5,-12.5,N/A,N/A
Washington St.,P12,34,17,111.3,98,0.8115,50.4,49.8,18.5,16.6,31.5,26.1,28.2,28.4,46.3,50.5,37.3,32.2,64.2,-3,N/A,N/A
Villanova,BE,34,17,112.3,99.3,0.8047,51.5,50.7,15.5,17.3,22.6,25.2,30,27.7,52.8,50.7,33.4,33.8,63.7,-2.2,N/A,N/A
Tarleton St.,WAC,30,17,104,100.4,0.5997,47.6,53.3,18.3,24.2,26,30,47.6,46.2,46.5,52.2,33.9,36.6,66.4,-7.7,N/A,N/A
North Carolina Central,MEAC,26,18,99.9,100,0.4986,50.9,48.9,22.6,21.6,32.3,29.6,34.2,35.5,50.1,49.9,35,31.3,67.7,-7.5,N/A,N/A
Navy,Pat,30,18,101.3,103.2,0.4476,51.5,50.4,17.3,19.5,29.9,28,23.7,30,49.3,49.8,36.9,34.2,64.4,-8.6,N/A,N/A
Maryland Eastern Shore,MEAC,27,18,92.3,100.4,0.276,47.6,50.6,21.1,24.9,27.1,31.7,31.4,34.4,46.8,51.4,32.6,32.9,69.3,-7.8,N/A,N/A
UC Davis,BW,30,18,102.8,102.8,0.5004,49.8,50.7,20.6,20.8,32.2,28.6,42.8,31.5,49.6,48.9,33.5,36.7,70.5,-8.4,N/A,N/A
UMBC,AE,31,18,103.9,110.9,0.3217,51.3,52.9,14.8,16.9,26.4,26.8,27,25.6,51.8,50.6,33.8,37.7,67.6,-9.6,N/A,N/A
Alcorn St.,SWAC,32,18,100.2,107.8,0.3009,45.2,51.4,18.3,21,33.7,31.4,35.3,39.3,45.6,52.6,29.6,33.1,67.2,-7.1,N/A,N/A
Southeastern Louisiana,Slnd,29,18,102.6,110.4,0.3008,50.9,54.2,16.9,19.8,27.6,29.9,32.1,33.4,49.1,52.1,36.4,38.2,68.7,-9.3,N/A,N/A
Tennessee St.,OVC,28,18,100.3,109.5,0.2663,50.9,49.9,17.3,18.5,26.9,28.2,35.1,42.4,49.6,49.5,35.1,33.8,70.4,-11.5,N/A,N/A
St. John's,BE,33,18,107.9,97.7,0.7568,49.4,50.2,18.7,19.7,34,27.6,27.7,29.6,49.3,49.2,33.1,34.5,73.4,-2.6,N/A,N/A
Wright St.,Horz,31,18,103.4,105.4,0.4449,53.5,50.3,17.3,17.2,26.2,26.6,24,27.6,53.9,51.2,35.1,32.6,71.2,-11,N/A,N/A
Weber St.,BSky,31,18,99,101.1,0.4405,50.8,52.8,19.2,19.3,21,22.4,33.7,31.7,51.8,51.1,32.8,36.8,65,-8.4,N/A,N/A
Queens,ASun,30,18,105.7,108.3,0.4299,51.2,53,17.6,15.7,29.7,26.1,35.9,25.4,50.5,53,34.8,35.3,69.8,-9.4,N/A,N/A
North Alabama,ASun,30,18,102.4,109.3,0.319,50.7,52.1,15.8,15.1,23.1,27.9,30.1,31.8,49.1,49.6,35.8,37.6,68.4,-7.9,N/A,N/A
Michigan,B10,34,18,111.7,97.1,0.8323,51.6,47.9,15.2,14.4,25.7,25.8,30.8,25.8,51,48,35.1,31.7,67.5,-1.8,N/A,N/A
Western Carolina,SC,31,18,101,107.2,0.3359,49.1,51,15.7,15.6,25.5,25.2,33.8,34.1,48.7,51.4,33.1,33.3,67.5,-9.8,N/A,N/A
Merrimack,NEC,32,18,90.5,98.8,0.267,48.3,49.1,20.7,26,20.5,35.6,34.6,26.9,48.2,48.9,32.3,33,66.1,-11.8,N/A,N/A
Colorado,P12,35,18,106.5,95.1,0.7876,49,48,19,19.3,30.8,25.1,29.9,31.4,49.4,47.9,32.2,32.1,69,-3.4,N/A,N/A
Chattanooga,SC,32,18,107.3,107.3,0.5001,54,50.9,17.5,15.3,27.3,26.7,32,30.2,51.8,50.6,37.3,34.2,68,-11.3,N/A,N/A
Loyola Marymount,WCC,30,19,107.7,104.1,0.5981,53.1,51.8,18.3,16.2,30.2,24.6,31.6,34.9,51.9,52,36.5,34.3,67.1,-2.9,N/A,N/A
Old Dominion,SB,30,19,101.2,103.1,0.448,46.4,48.3,17.1,17.7,32.8,29,36.2,34.7,46.1,48.8,31.5,31.7,64.8,-5.9,N/A,N/A
UNLV,MWC,31,19,106.4,99,0.6963,49.2,52.4,17.5,24.7,27.9,31,35.5,31,47.9,50.9,34.1,36.1,69.4,-3.4,N/A,N/A
Stephen F. Austin,WAC,29,19,104,101.8,0.5592,51.5,51.4,21.3,23.8,31.6,32.2,38.9,41.8,49.2,51.7,38,34,69.1,-7,N/A,N/A
South Dakota St.,Sum,31,19,103,105.2,0.4377,51.7,50.9,17.1,17.3,21.5,26,28.1,23.1,51.2,51.7,35.1,33.2,66.7,-6.5,N/A,N/A
Wake Forest,ACC,33,19,111.4,101.5,0.7432,54.2,51.6,17.1,17.3,24.8,26.6,32.1,26.7,54,51,36.4,35,69.4,-3,N/A,N/A
Middle Tennessee,CUSA,31,19,105.8,101.3,0.6224,51.2,51.6,19.3,21.8,31.9,29.2,29.4,34.6,51,50.2,34.3,36.2,66.8,-5.2,N/A,N/A
Ohio,MAC,32,19,109.3,106.8,0.5662,52.4,51.6,16.2,17.6,32.8,28.9,27.5,33.9,50.1,51.9,37.3,34.1,68.1,-7.7,N/A,N/A
St. Thomas,Sum,31,19,106.1,108,0.4497,51.8,51.9,15.1,17.3,24,28.8,30.7,31,51.2,52.6,35.1,33.7,66,-8.8,N/A,N/A
SIU Edwardsville,OVC,30,19,98.8,106.3,0.2999,48.5,49,18.5,19.2,30.6,29.4,40.3,34.6,48.5,48.1,32.3,33.6,69,-10.5,N/A,N/A
Tennessee Martin,OVC,29,19,100.9,110.5,0.2599,50.4,49.6,16.8,16.8,27,29,36.1,34,51.9,50.5,31.9,32.3,71,-10.7,N/A,N/A
Rutgers,B10,34,19,105.4,91,0.8438,47.9,46.6,17.1,21.7,32.1,27.9,28.2,27.4,47.9,47,32.1,30.7,65.8,-1,N/A,N/A
UCF,Amer,34,19,107.7,95.6,0.7988,50.3,48,19.6,21.9,33.6,30.7,28.9,33.4,48.3,49.2,35.3,30.7,64.5,-3.8,N/A,N/A
Virginia Tech,ACC,34,19,114,102.6,0.771,54,50.7,14.7,16.3,25.9,27.7,25.9,25.2,54.3,50.5,35.8,34,66.6,-3.2,N/A,N/A
BYU,WCC,32,19,108.6,98.3,0.7577,51.5,49.5,20.2,18.5,31.8,24.1,32.5,37.8,53.1,48.8,32.7,33.7,69.5,-4.5,N/A,N/A
South Alabama,SB,33,19,108.4,99.5,0.7294,52.8,46.6,14.6,16.1,20.9,28.4,22.3,28.3,53.4,47.9,34.5,29,65.5,-7.9,N/A,N/A
Rice,CUSA,32,19,106.7,110.2,0.4091,53.1,54.7,18,16.1,24.1,26.6,32.5,25.7,53.7,54,34.7,37.3,69.6,-6.8,N/A,N/A
Tulane,Amer,31,20,108.7,102.4,0.6672,52.4,50.4,15.1,19.3,19.3,30.5,35.4,29.6,53.4,48.2,33.8,35.7,72.9,-2.1,N/A,N/A
Quinnipiac,MAAC,31,20,103.5,104.9,0.4608,49.9,48.1,18.1,16.5,32.2,27.6,33,27.1,47.4,48.5,36.1,31.6,69.6,-7.4,N/A,N/A
UNC Greensboro,SC,30,20,103,97.5,0.6547,50.6,47.8,17.8,19.3,29.2,26.5,32.4,31.4,49.3,46.8,35.1,32.8,65.8,-6.2,N/A,N/A
Seattle,WAC,30,20,100,99.4,0.5196,46.3,48.8,16.9,17.8,29.9,26.6,32.4,33.3,46.4,49,30.9,32.3,68.8,-4.9,N/A,N/A
Longwood,BSth,30,20,103.7,103.1,0.5167,50.2,51.2,17.8,21.5,32.1,26.9,33.6,33.5,49.5,50.5,34.3,34.7,65.9,-7.8,N/A,N/A
Ball St.,MAC,30,20,107.2,107.6,0.4898,53,51,17.8,16.7,30.5,28.4,42.3,31.3,51.7,47.7,36.9,38.4,67.2,-6.7,N/A,N/A
North Carolina,ACC,33,20,111.5,96.4,0.8431,49.2,48.7,15.2,14.9,30.4,23.3,37,26.3,50.8,48.4,31.1,33,68.8,-0.7,N/A,N/A
Cal St. Fullerton,BW,31,20,104.1,99.3,0.6336,49.4,48.6,17.4,20.5,25.9,29.4,38.7,33.4,46.5,49.2,36.2,31.7,64.7,-6.1,N/A,N/A
Duquesne,A10,33,20,107.8,103,0.6279,51.1,50.5,17.3,20.8,33.4,33.1,26.4,35.1,48.5,49.4,36.6,35.2,68,-6,N/A,N/A
Troy,SB,30,20,102.8,101.4,0.5396,49.4,48.6,18.7,21.1,30.3,30.1,32.5,34.6,51.2,48.4,31.2,32.7,67.7,-6.1,N/A,N/A
